Cash and cash equivalents,1140313000
Deposits with other banks and financial institutions,701376000
Financial investments,613716000
Investments in subsidiary,1200000
Loan (net),2318058000
Performing loans,2116535000
Non-performing loans,192495000
Deferred loan payments,6138000
Accrued interest receivables,110699000
Provision for loan impairment,95533000
Derivative financial assets,75466000
Other financial assets,64536000
Other non-financial assets,26886000
Fixed assets,140555000
Investment properties,57506000
Assets for sale,52556000
Intangible assets,13617000
Total assets,5204584000
LIABILITIES,0
Current accounts,998977000
Savings,2412575000
Due to other banks and financial institutions,968162000
Other funds,267728000
Other liabilities,165453000
Total liabilities,4812895000
EQUITY,0
Share capital,52146000
Share premium,46584000
Treasury stock,0
Revaluation surplus,3962000
Retained earnings,218534000
Other components of equity,70463000
Total equity,391689000
Total liabilities and equity,5204584000
Interest income,409220000
Balances with the Bank of Mongolia,12418000
Due from other banks and financial institutions,3153000
Investments,99784000
Loans and advances to customers,287085000
Other,6780000
Interest expense,287230000
Customer accounts,13685000
Savings,228481000
Borrowed funds,45063000
Securities,0
Other,0
Net interest income,121990000
Provision expenses,33412000
Net interest income after provision,88579000
Other income,97758000
Non-interest income,92268000
Gains from trading in foreign currencies,56617000
Gains from foreign currency exchange translation,0
Fees and commission income,35650000
Other non-interest income,0
Other income,5490000
Other expense,198419000
Non-interest expense,172657000
Other provision expense,239000
Losses from trading in foreign currencies,0
Losses from foreign currency exchange translation,78652000
Fees and commission expense,9809000
Other operating expense,84434000
Other expense,25763000
Profit before tax,12083000
Income tax expense,6930000
Profit after tax,5153000
Other comprehensive income,30268000
Total comprehensive income,25116000